index,user_id,business_id,true_rating,pred_rating,llm_pred,q_pred,MAE_partial,RMSE_partial
0,cDQG_OGCpu4ATDz6rQSryw,V_tkg5iqbsR9TcrivrDgzg,2.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
1,DeJAlOVZSmql3D5T2fyb2g,jfIWqMrdWnPNORcDnQ7VNg,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
2,OY0lWSo1kw_B84JF89kAFQ,GoYSJ-YY-YwbxdgasHuq-Q,3.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
3,3feEElYb8I9_8kuPxtAMLw,yHUWxfunpzerdiehxNFI8g,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
4,Rx-yuTcHTBZ8cJWQPTu9IA,QtST1igZAi0q9LxJr6srIQ,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
5,TLNI1VHqpKDz8W7xQhIbAA,0RmN5d21noHAkiDYL0j5Xw,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
6,06_WbMlPsXIyz1OFDv8iIg,kQDsmkRsLIiEEY2douOZWg,3.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
7,70y7ExiEHrawld5lruwUVw,rhdzgIxt3PikpHXm_QNCew,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
8,h6KGBTppenV5Mwgc5AUhdg,7cpj7hjDTX5fb-6pYcZiGQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
9,hw5zmHc2QaiO-LCIs5MqHA,317lIGWVcxcVWdVo6ZKHwg,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
10,2HA_Ub0s2qACtlOkrTe1DQ,ZNOc9LErlBDtJF3Y7LQtwA,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
11,1wgYYWKWoDl4WFA8shpzKg,tYn8hGpZiRgJ8cP2FcI_YQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
12,TIlbuLIsGLISCoI9pWlwyQ,rLMRRaLhgxH2cU2XuJf_BQ,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
13,Vrk8VJFXtBdKzGB9JZxRTQ,msnm4l6xGcCDrPrjDzUVbQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
14,qhlBhrhpkM3woRdgus-gnA,hc7I_QpCszT3mlIP9uW19w,5.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
15,Zd2MiIfCHT52WXoUKtYONg,2Q1R2OhBbAQ581vK_r7NhA,5.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
16,jfpqJpSwQnL-6eblk7hIhQ,24f-qQokEN2UvBNHMWLm3A,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
17,S_VUtqoT9eHYrcb4qTVdIw,HyZCLz5O3n24ne8gLgfvCQ,3.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
18,vCUeFAY774VtmpszX9hyGA,rOh8NovXVn48p8I-ZYEpQA,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
19,1w-EM0mPtqoIZAgrB2N5MA,xJOhJXcsB6pdSD2zVDg1Bw,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
20,_I5yBAm4IAayT3kqX1qURg,xZvfws735zT0LsBZMTd0XQ,3.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
21,USFfwjFRfIu9YD2FzdrFCw,YCKSpB4YwMxSXSauN9WPCA,4.0,2.4000000000000004,2.0,3.0,0.5219999999999999,0.8335466393669881
22,nd3J4ng39EnLN5nAiafA4w,pXRrRf8fDv6yU3xp1E25hA,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
23,JfUlPohoQnp79eAqwUFVMA,oJRjeio1OBablDFr--__Xg,2.0,2.1,1.5,3.0,0.5219999999999999,0.8335466393669881
24,AFLID_qyrrbEepehgVvbSg,-0G_6-KFGpCpxTUlVXCMYQ,2.0,0.4,0.0,1.0,0.5219999999999999,0.8335466393669881
25,P5hp_o83R5Uzey4xkpCmRw,PrVDvV4QcA-ymZv7pJR5YQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
26,6EKoV_23dOKDYIYyiCsdJA,rKx-J2H54p2eZIdn8JvJuA,4.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
27,68SCNZlNUDaTsl-_o5uZFg,8XShad-H8bEr_p2GwFIoiQ,3.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
28,ARTzylDPehrsQtHd0IJMFA,-Tskf8WK17rb3ZfeFuRSWA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
29,Bl02FNKpY3cpE7YwyjMFtQ,vNrFILL7SNflYMw9DSXCeg,5.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
30,3t_Jf5R5uRllg9ERHnsgRQ,NFzfuIFghE-HnrodHpaT6A,3.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
31,wxqxIOP9SoqKY3ZxvKchqg,P0yKtQ4cFjNTY1X2CIdzBw,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
32,gM6tVMkCH5A7VmhrQN002w,QGYzYUMsQe6k7__LD91E5w,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
33,mh-FtXRIT8pBymSV7FlKfA,kQRB8RNwd7cEMcURTS-I7A,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
34,1lbjUfc-Lqp7sRgsfRLQ4Q,7gmgEoLpKdC2nawiBOtGjA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
35,d69F8wnAyCQMWuYQTEFFUw,Eb1XmmLWyt_way5NNZ7-Pw,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
36,XiEkBO-U69VBYqPYGGg1vA,dXYmCOVFSsKBkRq_0-tIaw,1.0,0.4,0.0,1.0,0.5219999999999999,0.8335466393669881
37,UlIHaiR81-eR5labkP12Sw,5zOYg50gWuLkg7vfxjDsEw,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
38,NAtkmn07-dNVA6YMqZCs6Q,cBp1fn2LXpSHe4VbTXLYEw,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
39,SCDH6Mfq8_NRuo6e8praMg,UIPWKuoa1rPap2NbYzJFLw,1.0,1.0,1.0,1.0,0.5219999999999999,0.8335466393669881
40,USFfwjFRfIu9YD2FzdrFCw,iWOtkg5L5u-mI9xsKiJQ2g,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
41,lUAeIFEtaEhiRL-n4PLeyA,TDKBPcViJQDMrdUm6a9XZA,5.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
42,vraprUADt9du5ZyA0ZQkVg,WXgV2lOUgas7DzTLeDau-w,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
43,YcOVVJdIChhPkGtjkba6lA,WiOSsV1BktMBQm2KOSm7SQ,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
44,4UAqdgiCe1jwI1IQl96MIA,8-0t76fS3LNlLERzJR9aUQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
45,3nMk69mPGmm2mpJjrUBrAg,xoVTtQd6xRrFbQcdfH0dLA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
46,U4INQZOPSUaj8hMjLlZ3KA,oBNrLz4EDhiscSlbOl8uAw,3.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
47,AHRrG3T1gJpHvtpZ-K0G_g,nlNAluD3re_KnCcQHuZc2A,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
48,6i7XsIdjmExkLJJ8RggRyg,Pr-OrQ0-hNPFdp8bVZN6Lg,5.0,0.4,0.0,1.0,0.5219999999999999,0.8335466393669881
49,xleb2I3h5-8NAicsSW_dEw,C2JtfhOZ3PPzIS9V5arQ2A,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
50,19MQQFLbpI5z6PYhHrG2mg,ZIpPvfIGlrxhsAz1ID0tYg,2.0,2.4000000000000004,2.0,3.0,0.5219999999999999,0.8335466393669881
51,JGKSv1VtaERrGUpkzxrYhA,n5WLHgbSdtyTXcwkrzaj9A,3.0,2.7,2.5,3.0,0.5219999999999999,0.8335466393669881
52,RDhxRSAkOxB_dubhROyjzg,dclL14pr7OojCOKJ_ZbMbQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
53,oNNL-ykTZx5S-xf66SOVjQ,eLAd1Jw-g1NKymBx1XPDoA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
54,kV4eLnU5fm-ieJCEeqNiIQ,WQ0Hn0QaJZpygRyr3ALWSg,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
55,ixtKgePFibGVpyMrPogstg,xhAzk9qYpHR-nu_0sZIcWg,3.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
56,FdIiFCp5vPcFyWGn6_qf-Q,fJ6AA9S7SEq3sim_3Sim3g,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
57,3wOEEoilkTqNtxloVvg2pQ,bGITrkWR3bNTuQDBvngNHA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
58,A1nIXS5XEWeZ2EUUcOsurA,9RiIQA4M2Y0AU3TkASJn3A,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
59,KvoHp9A3TgaiVWj4SZpdAg,QvB0NRTGDplwnfPZGq8chw,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
60,S_VUtqoT9eHYrcb4qTVdIw,NoZgfiWSD0hy6knY44SfbA,5.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
61,vVBhsqbv07cPiPJHW5F8rw,ZGH8MzJa7Q7iIpmtzBAJAQ,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
62,im1piwjKBavmW1-tbqhqEw,yGH9V9WTNGSZ6AHOW3kH-w,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
63,vDACtEdgJP3mS-U0_NA0Pw,GjpMXrlTWpADpyUR1WByNA,4.0,4.699999999999999,4.5,5.0,0.5219999999999999,0.8335466393669881
64,Pu_fq2DVD0d3iu5-wTJ0ng,PC62l488ujL8i75jrBiOlg,4.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
65,1E1i3oSpZNLddy22RVWDEw,cwn_MBPFUJtme68WURSgKA,3.0,4.1,3.5,5.0,0.5219999999999999,0.8335466393669881
66,1nYUZj_cXHvJoYAzbmsMXg,6o3Xj4Lxa2XcaHuCblCc3g,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
67,EUkxMG8Bf6nGsrIXOCAQ4w,Ih6qAkEQRgk6zsaGTz5HUQ,4.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
68,-kLVfaJytOJY2-QdQoCcNQ,YBps98IjEYe03M6ru_snLg,4.0,2.4000000000000004,2.0,3.0,0.5219999999999999,0.8335466393669881
69,_uMEeZbgqigt222bZ642qQ,0Xm1wedwnMJ1iKXz8vUDSw,3.0,3.0,3.0,3.0,0.5219999999999999,0.8335466393669881
70,N82O-pWWp8xBJJH_UNJ0HA,-9ZNA22YhFlvTdLDYjvNdA,5.0,5.0,5.0,5.0,0.5219999999999999,0.8335466393669881
71,sG9dTFp2WwWbRJVjj5gH2w,3ovV2S7XEAOEk8hCdYKhOA,2.0,2.7,2.5,3.0,0.5219999999999999,0.8335466393669881
72,iLhuB3CafvxwY4zm5h4bRw,cNH8949aoGjotaR1LvbGPw,3.0,4.4,4.0,5.0,0.5219999999999999,0.8335466393669881
